no,pair_id,turn_count,history,response,label
25,P013,3,"동생: 노트북이 갑자기 너무 느려졌어.
나: 최근에 설치한 프로그램 있어?
동생: 어제 영상 편집 프로그램을 하나 설치했어.","작업 관리자에서 점유율을 확인하고, 그 프로그램이 계속 실행 중인지 먼저 봐봐.",적절
26,P013,3,"동생: 노트북이 갑자기 너무 느려졌어.
나: 최근에 설치한 프로그램 있어?
동생: 어제 영상 편집 프로그램을 하나 설치했어.",나는 딸기우유보다 초코우유가 좋아.,부적절
27,P014,3,"친구: 여행 날짜를 바꿔야 할 것 같아.
나: 무슨 일이 생겼어?
친구: 그날 회사 일정이 잡혔어.",회사 일정이 확정이면 가능한 다른 날짜를 같이 찾아보자.,적절
28,P014,3,"친구: 여행 날짜를 바꿔야 할 것 같아.
나: 무슨 일이 생겼어?
친구: 그날 회사 일정이 잡혔어.",내 방 커튼 색을 베이지로 바꿀까 고민 중이야.,부적절
29,P015,3,"담당자: 제출하신 서류에 서명이 빠져 있습니다.
나: 다시 제출해야 하나요?
담당자: 서명한 파일만 오늘까지 보내주시면 됩니다.",확인했습니다. 서명한 파일을 오늘 안으로 다시 보내겠습니다.,적절
30,P015,3,"담당자: 제출하신 서류에 서명이 빠져 있습니다.
나: 다시 제출해야 하나요?
담당자: 서명한 파일만 오늘까지 보내주시면 됩니다.",요즘 지하철에 사람이 정말 많네요.,부적절
31,P016,3,"친구: 자꾸 같은 실수를 해서 자신감이 떨어져.
나: 어떤 실수를 반복했어?
친구: 발표할 때 중요한 내용을 빼먹어.",발표 직전에 확인할 짧은 체크리스트를 만들어두면 도움이 될 거야.,적절
32,P016,3,"친구: 자꾸 같은 실수를 해서 자신감이 떨어져.
나: 어떤 실수를 반복했어?
친구: 발표할 때 중요한 내용을 빼먹어.",나는 여름보다 겨울이 더 좋아.,부적절
33,P017,3,"동료: 회의 시간이 3시에서 4시로 바뀌었습니다.
나: 장소는 그대로인가요?
동료: 네, 2층 회의실입니다.",확인했습니다. 4시에 2층 회의실로 가겠습니다.,적절
34,P017,3,"동료: 회의 시간이 3시에서 4시로 바뀌었습니다.
나: 장소는 그대로인가요?
동료: 네, 2층 회의실입니다.",점심 메뉴는 아직 정하지 못했어요.,부적절
35,P018,3,"친구: 오늘 약속에 조금 늦을 것 같아.
나: 얼마나 늦을 것 같아?
친구: 20분 정도 늦을 것 같아.",알겠어. 나는 근처에서 기다리고 있을게.,적절
36,P018,3,"친구: 오늘 약속에 조금 늦을 것 같아.
나: 얼마나 늦을 것 같아?
친구: 20분 정도 늦을 것 같아.",내일 아침에 택배가 온다고 문자 왔어.,부적절
37,P019,3,"교수: 보고서에서 참고문헌 형식을 통일하세요.
나: 어떤 형식으로 맞추면 될까요?
교수: 학과 안내문에 나온 APA 형식을 사용하세요.",안내문을 확인해서 참고문헌을 APA 형식으로 수정하겠습니다.,적절
38,P019,3,"교수: 보고서에서 참고문헌 형식을 통일하세요.
나: 어떤 형식으로 맞추면 될까요?
교수: 학과 안내문에 나온 APA 형식을 사용하세요.",학교 앞 붕어빵집이 아직 영업하나 모르겠네요.,부적절
39,P020,3,"친구: 집주인이 보증금 반환 날짜를 계속 미뤄.
나: 계약서에는 언제 돌려준다고 되어 있어?
친구: 퇴거일에 반환한다고 적혀 있어.",계약서 내용과 지금까지의 연락 기록을 정리해서 반환 일정을 다시 요구해봐.,적절
40,P020,3,"친구: 집주인이 보증금 반환 날짜를 계속 미뤄.
나: 계약서에는 언제 돌려준다고 되어 있어?
친구: 퇴거일에 반환한다고 적혀 있어.",요즘 넷플릭스에 볼 게 별로 없는 것 같아.,부적절
41,P021,3,"팀원: 데이터에 같은 문장이 여러 번 들어가 있어요.
나: 중복이 얼마나 되나요?
팀원: 전체 500개 중 18개 정도입니다.","중복 기준을 정한 뒤 제거하고, 제거 후 라벨 비율도 다시 확인하죠.",적절
42,P021,3,"팀원: 데이터에 같은 문장이 여러 번 들어가 있어요.
나: 중복이 얼마나 되나요?
팀원: 전체 500개 중 18개 정도입니다.",키보드 소리가 생각보다 크게 들리네요.,부적절
43,P022,3,"친구: 부모님과 진로 이야기만 하면 싸우게 돼.
나: 부모님은 어떤 걸 걱정하셔?
친구: 안정적인 직장을 포기할까 봐 걱정하셔.",부모님 걱정을 인정하면서 네 계획과 준비 과정을 구체적으로 설명해보는 게 좋겠다.,적절
44,P022,3,"친구: 부모님과 진로 이야기만 하면 싸우게 돼.
나: 부모님은 어떤 걸 걱정하셔?
친구: 안정적인 직장을 포기할까 봐 걱정하셔.",내가 오늘 새 양말을 신었는데 생각보다 편해.,부적절
45,P023,3,"관리자: 회원 탈퇴 기능에서 오류가 발생합니다.
나: 어떤 상황에서 발생하나요?
관리자: 탈퇴 버튼을 누르면 500 오류가 납니다.",서버 로그와 탈퇴 API 응답을 확인해서 예외가 발생한 위치를 찾겠습니다.,적절
46,P023,3,"관리자: 회원 탈퇴 기능에서 오류가 발생합니다.
나: 어떤 상황에서 발생하나요?
관리자: 탈퇴 버튼을 누르면 500 오류가 납니다.",창밖에 구름 모양이 신기하게 생겼어요.,부적절
47,P024,3,"친구: 내일 시험인데 아직 절반도 못 봤어.
나: 남은 시간이 얼마나 돼?
친구: 오늘 밤이랑 내일 아침 정도야.",전부 보려고 하기보다 빈출 범위와 틀린 문제부터 우선 정리해.,적절
48,P024,3,"친구: 내일 시험인데 아직 절반도 못 봤어.
나: 남은 시간이 얼마나 돼?
친구: 오늘 밤이랑 내일 아침 정도야.",나는 밤에 라면 먹으면 꼭 얼굴이 붓더라.,부적절
49,P025,3,"동료: 고객이 기능 사용법을 이해하기 어렵다고 합니다.
나: 어느 화면에서 막힌대요?
동료: 회원가입 후 인증 단계에서 많이 이탈한대요.",인증 화면 안내 문구와 오류 메시지를 먼저 점검해보죠.,적절
50,P025,3,"동료: 고객이 기능 사용법을 이해하기 어렵다고 합니다.
나: 어느 화면에서 막힌대요?
동료: 회원가입 후 인증 단계에서 많이 이탈한대요.",사무실 화분에 물을 준 지 오래된 것 같아요.,부적절
51,P026,3,"친구: 헤어진 뒤에도 자꾸 연락하고 싶어져.
나: 연락하면 어떤 답을 기대하는데?
친구: 다시 시작할 수 있다는 말을 듣고 싶어.","지금 연락이 실제로 관계를 바꿀 수 있는지, 아니면 불안을 잠깐 줄이려는 건지 먼저 생각해봐.",적절
52,P026,3,"친구: 헤어진 뒤에도 자꾸 연락하고 싶어져.
나: 연락하면 어떤 답을 기대하는데?
친구: 다시 시작할 수 있다는 말을 듣고 싶어.",나는 요즘 매일 아침 사과를 먹고 있어.,부적절
53,P027,3,"팀장: 이번 주까지 데이터셋 초안을 완성해야 합니다.
나: 현재 300개까지 작성했습니다.
팀장: 남은 분량과 검수 일정도 알려주세요.",남은 200개는 목요일까지 작성하고 금요일에 중복과 라벨을 검수하겠습니다.,적절
54,P027,3,"팀장: 이번 주까지 데이터셋 초안을 완성해야 합니다.
나: 현재 300개까지 작성했습니다.
팀장: 남은 분량과 검수 일정도 알려주세요.",주말에 공원에 사람이 많을 것 같아요.,부적절
55,P028,3,"친구: 새 회사에 적응이 잘 안 돼.
나: 업무가 어려운 거야, 사람들과 어색한 거야?
친구: 질문할 타이밍을 못 잡겠어.",질문을 모아두었다가 상대가 덜 바쁜 시간을 물어보고 한 번에 확인해봐.,적절
56,P028,3,"친구: 새 회사에 적응이 잘 안 돼.
나: 업무가 어려운 거야, 사람들과 어색한 거야?
친구: 질문할 타이밍을 못 잡겠어.",내 휴대폰 케이스가 벌써 누렇게 변했어.,부적절
57,P029,3,"고객: 환불 신청을 했는데 입금이 안 됐습니다.
나: 신청하신 날짜가 언제인가요?
고객: 지난주 금요일입니다.",환불 처리 상태와 카드사 반영 기간을 확인해서 안내드리겠습니다.,적절
58,P029,3,"고객: 환불 신청을 했는데 입금이 안 됐습니다.
나: 신청하신 날짜가 언제인가요?
고객: 지난주 금요일입니다.",이번 여름은 작년보다 더 더운 것 같네요.,부적절
59,P030,3,"친구: 내가 먼저 사과해야 할지 모르겠어.
나: 네가 잘못했다고 생각하는 부분이 있어?
친구: 화난다고 상대 말을 끊어버렸어.","그 부분은 먼저 사과하되, 네가 서운했던 이유도 차분히 설명해봐.",적절
60,P030,3,"친구: 내가 먼저 사과해야 할지 모르겠어.
나: 네가 잘못했다고 생각하는 부분이 있어?
친구: 화난다고 상대 말을 끊어버렸어.",새로 산 충전기가 생각보다 선이 짧아.,부적절
61,P031,3,"개발자: 로그인 요청이 계속 403으로 막힙니다.
나: Security 설정은 확인했나요?
개발자: 로그인 경로를 permitAll에 넣지 않았습니다.",그 경로를 허용 목록에 추가한 뒤 다시 요청해보세요.,적절
62,P031,3,"개발자: 로그인 요청이 계속 403으로 막힙니다.
나: Security 설정은 확인했나요?
개발자: 로그인 경로를 permitAll에 넣지 않았습니다.",오늘 점심은 김치찌개를 먹었습니다.,부적절
63,P032,3,"친구: 요즘 잠을 너무 늦게 자.
나: 보통 몇 시에 자는데?
친구: 새벽 네 시쯤 자고 정오에 일어나.",기상 시간을 먼저 조금씩 당기고 낮잠과 늦은 카페인을 줄여보는 게 좋겠어.,적절
64,P032,3,"친구: 요즘 잠을 너무 늦게 자.
나: 보통 몇 시에 자는데?
친구: 새벽 네 시쯤 자고 정오에 일어나.",우리 동네 편의점이 최근에 리모델링했어.,부적절
65,P033,3,"팀원: 학습 데이터와 테스트 데이터가 섞인 것 같아요.
나: 같은 문장이 양쪽에 있나요?
팀원: 문장 일부만 바뀐 유사 데이터가 있습니다.",유사도 기준으로 그룹화한 뒤 같은 그룹은 한쪽 분할에만 들어가도록 다시 나누죠.,적절
66,P033,3,"팀원: 학습 데이터와 테스트 데이터가 섞인 것 같아요.
나: 같은 문장이 양쪽에 있나요?
팀원: 문장 일부만 바뀐 유사 데이터가 있습니다.",저는 볼펜보다 샤프를 더 자주 사용해요.,부적절
67,P034,3,"친구: 생일 모임에 못 갈 것 같아.
나: 무슨 일정이 겹쳤어?
친구: 가족 행사가 같은 날 잡혔어.",가족 행사가 있으면 어쩔 수 있지. 미리 이야기하고 따로 축하해주면 될 것 같아.,적절
68,P034,3,"친구: 생일 모임에 못 갈 것 같아.
나: 무슨 일정이 겹쳤어?
친구: 가족 행사가 같은 날 잡혔어.",내 책상 의자가 요즘 자꾸 삐걱거려.,부적절
69,P035,3,"담당자: 인터뷰 시간을 변경할 수 있을까요?
나: 가능한 시간대를 알려주세요.
담당자: 금요일 오후 2시 이후는 모두 가능합니다.",금요일 오후 3시로 변경 가능한지 확인 부탁드립니다.,적절
70,P035,3,"담당자: 인터뷰 시간을 변경할 수 있을까요?
나: 가능한 시간대를 알려주세요.
담당자: 금요일 오후 2시 이후는 모두 가능합니다.",오늘 아침에는 유난히 길이 막혔어요.,부적절
71,P036,3,"친구: 운동을 시작했는데 삼일 만에 포기했어.
나: 처음부터 얼마나 하려고 했어?
친구: 매일 한 시간씩 하려고 했어.",처음부터 한 시간보다 15분씩 주 3회로 시작하는 게 더 지속하기 쉬워.,적절
72,P036,3,"친구: 운동을 시작했는데 삼일 만에 포기했어.
나: 처음부터 얼마나 하려고 했어?
친구: 매일 한 시간씩 하려고 했어.",나는 검은색 옷이 제일 무난해서 좋아.,부적절
73,P037,3,"동료: API 응답 필드명이 문서와 다릅니다.
나: 실제 응답은 어떻게 오나요?
동료: userId 대신 user_num으로 내려옵니다.",문서와 구현 중 기준을 정한 뒤 필드명을 통일해야겠습니다.,적절
74,P037,3,"동료: API 응답 필드명이 문서와 다릅니다.
나: 실제 응답은 어떻게 오나요?
동료: userId 대신 user_num으로 내려옵니다.",회의실 창문이 잘 안 닫히는 것 같아요.,부적절
75,P038,3,"친구: 내가 보낸 메시지를 읽고도 답이 없어.
나: 보낸 지 얼마나 됐어?
친구: 이틀 됐어.",급한 내용이 아니라면 한 번 더 보내기보다 상대가 답할 시간을 조금 더 줘봐.,적절
76,P038,3,"친구: 내가 보낸 메시지를 읽고도 답이 없어.
나: 보낸 지 얼마나 됐어?
친구: 이틀 됐어.",나는 요즘 탄산수를 자주 마셔.,부적절
77,P039,3,"팀장: 발표 시간이 10분밖에 없습니다.
나: 현재 대본은 15분 정도입니다.
팀장: 핵심 기능 중심으로 줄여주세요.",배경 설명을 줄이고 핵심 기능 세 가지와 결과 위주로 10분에 맞추겠습니다.,적절
78,P039,3,"팀장: 발표 시간이 10분밖에 없습니다.
나: 현재 대본은 15분 정도입니다.
팀장: 핵심 기능 중심으로 줄여주세요.",발표장 근처에 주차장이 있는지 궁금하네요.,부적절
79,P040,3,"친구: 자취방 계약을 연장할지 고민이야.
나: 지금 집에서 불편한 점이 있어?
친구: 월세가 올랐지만 위치는 정말 좋아.","오른 월세와 이사 비용, 위치의 장점을 같이 비교해보고 결정해.",적절
80,P040,3,"친구: 자취방 계약을 연장할지 고민이야.
나: 지금 집에서 불편한 점이 있어?
친구: 월세가 올랐지만 위치는 정말 좋아.",새로 나온 아이스크림 포장이 예쁘더라.,부적절
81,P041,3,"사용자: 비밀번호 재설정 메일이 오지 않습니다.
나: 스팸함도 확인하셨나요?
사용자: 네, 스팸함에도 없습니다.",가입 이메일과 발송 로그를 확인하고 재전송을 진행하겠습니다.,적절
82,P041,3,"사용자: 비밀번호 재설정 메일이 오지 않습니다.
나: 스팸함도 확인하셨나요?
사용자: 네, 스팸함에도 없습니다.",요즘 해가 정말 늦게 지는 것 같아요.,부적절
83,P042,3,"친구: 팀 프로젝트에서 내 의견이 계속 무시되는 기분이야.
나: 구체적으로 어떤 일이 있었어?
친구: 내가 제안한 기능은 듣지도 않고 바로 제외했어.",다음 회의에서는 제안 이유와 기대 효과를 짧게 정리해서 발언 시간을 요청해봐.,적절
84,P042,3,"친구: 팀 프로젝트에서 내 의견이 계속 무시되는 기분이야.
나: 구체적으로 어떤 일이 있었어?
친구: 내가 제안한 기능은 듣지도 않고 바로 제외했어.",내 방 조명이 조금 어두운 것 같아.,부적절
85,P043,3,"팀원: CSV 파일을 읽을 때 한글이 깨집니다.
나: 어떤 인코딩으로 저장됐나요?
팀원: 엑셀에서 저장한 파일이라 잘 모르겠습니다.",utf-8-sig와 cp949로 각각 읽어보고 실제 인코딩을 확인해봅시다.,적절
86,P043,3,"팀원: CSV 파일을 읽을 때 한글이 깨집니다.
나: 어떤 인코딩으로 저장됐나요?
팀원: 엑셀에서 저장한 파일이라 잘 모르겠습니다.",나는 오늘 검정색 운동화를 신었어요.,부적절
87,P044,3,"친구: 부모님 생신 선물을 뭘 해야 할지 모르겠어.
나: 평소 필요하다고 하신 게 있어?
친구: 오래된 지갑을 바꾸고 싶다고 하셨어.",예산에 맞는 지갑을 고르고 교환 가능한 곳에서 사는 게 좋겠다.,적절
88,P044,3,"친구: 부모님 생신 선물을 뭘 해야 할지 모르겠어.
나: 평소 필요하다고 하신 게 있어?
친구: 오래된 지갑을 바꾸고 싶다고 하셨어.",내일 미세먼지가 나쁠 수도 있대.,부적절
89,P045,3,"동료: 내일 회의 자료를 누가 준비하나요?
나: 역할 분담표를 확인해볼게요.
동료: 저는 데이터 정리를 맡았습니다.",그럼 저는 발표 자료 취합과 최종 검수를 맡겠습니다.,적절
90,P045,3,"동료: 내일 회의 자료를 누가 준비하나요?
나: 역할 분담표를 확인해볼게요.
동료: 저는 데이터 정리를 맡았습니다.",회사 앞 카페가 원두를 바꾼 것 같아요.,부적절
91,P046,3,"친구: 중요한 말을 꺼내면 자꾸 울게 돼.
나: 울면 말하기가 어려워져?
친구: 하고 싶은 말을 다 못하고 끝나.","미리 핵심 문장을 적어두고, 울더라도 그 메모를 보면서 천천히 말해봐.",적절
92,P046,3,"친구: 중요한 말을 꺼내면 자꾸 울게 돼.
나: 울면 말하기가 어려워져?
친구: 하고 싶은 말을 다 못하고 끝나.",나는 비 오는 날에는 부침개가 먹고 싶어.,부적절
93,P047,3,"개발자: 이미지 업로드는 되는데 화면에 표시되지 않습니다.
나: 저장된 경로와 응답 URL이 같은가요?
개발자: 서버에는 로컬 경로만 저장돼 있습니다.",클라이언트가 접근 가능한 URL로 변환해서 응답하도록 수정해야 합니다.,적절
94,P047,3,"개발자: 이미지 업로드는 되는데 화면에 표시되지 않습니다.
나: 저장된 경로와 응답 URL이 같은가요?
개발자: 서버에는 로컬 경로만 저장돼 있습니다.",제 모니터는 화면이 조금 푸르게 보여요.,부적절
95,P048,3,"친구: 약속을 취소해야 하는데 미안해서 말을 못 하겠어.
나: 언제 약속인데?
친구: 내일 저녁이야.",더 늦기 전에 사정을 솔직히 말하고 가능한 대체 날짜를 제안해.,적절
96,P048,3,"친구: 약속을 취소해야 하는데 미안해서 말을 못 하겠어.
나: 언제 약속인데?
친구: 내일 저녁이야.",나는 오늘 점심에 계란말이를 먹었어.,부적절
97,P049,3,"팀장: 모델이 특정 상황만 보고 라벨을 맞히는 것 같습니다.
나: 어떤 패턴이 발견됐나요?
팀장: 갈등 상황은 거의 모두 부적절로 분류합니다.",상황별 라벨 균형을 맞추고 같은 맥락에 서로 다른 라벨 응답을 넣어야겠습니다.,적절
98,P049,3,"팀장: 모델이 특정 상황만 보고 라벨을 맞히는 것 같습니다.
나: 어떤 패턴이 발견됐나요?
팀장: 갈등 상황은 거의 모두 부적절로 분류합니다.",사무실 프린터 용지가 거의 다 떨어졌습니다.,부적절
99,P050,3,"친구: 새로운 사람을 만나는 게 겁나.
나: 어떤 점이 가장 걱정돼?
친구: 또 상처받을까 봐 마음을 못 열겠어.","당장 깊은 관계를 만들려고 하지 말고, 부담 없는 만남부터 천천히 시작해봐.",적절
100,P050,3,"친구: 새로운 사람을 만나는 게 겁나.
나: 어떤 점이 가장 걱정돼?
친구: 또 상처받을까 봐 마음을 못 열겠어.",요즘 새로 나온 이어폰이 인기가 많더라.,부적절
101,P051,4,"팀장: 내일 오전까지 기획서 초안 볼 수 있을까요?
나: 네, 오늘 밤까지 마무리해보겠습니다.
팀장: 분량은 다섯 장 내외면 충분합니다.
팀장: 참고할 지난 분기 자료는 메일로 보내뒀어요.","넵, 보내주신 자료 참고해서 다섯 장 내로 정리하겠습니다. 완성되면 바로 공유드릴게요.",적절
102,P051,4,"팀장: 내일 오전까지 기획서 초안 볼 수 있을까요?
나: 네, 오늘 밤까지 마무리해보겠습니다.
팀장: 분량은 다섯 장 내외면 충분합니다.
팀장: 참고할 지난 분기 자료는 메일로 보내뒀어요.",ㅇㅋ 2시에 3층으로 갈게 ㅋㅋ 프린트는 내가 해감,부적절
103,P052,4,"친구: 야 낼 과제 같이 할래?
나: ㅇㅋ 어디서 할까
친구: 도서관 어때, 3층 스터디존
친구: 낼 2시쯤 어떰",ㅇㅋ 2시에 3층으로 갈게 ㅋㅋ 프린트는 내가 해감,적절
104,P052,4,"친구: 야 낼 과제 같이 할래?
나: ㅇㅋ 어디서 할까
친구: 도서관 어때, 3층 스터디존
친구: 낼 2시쯤 어떰","넵, 보내주신 자료 참고해서 다섯 장 내로 정리하겠습니다. 완성되면 바로 공유드릴게요.",부적절
105,P053,3,"교수: 최종 보고서 마감이 금요일 6시인 것 알고 있죠?
나: 네, 지금 결론 부분 작성 중입니다.
교수: 표절 검사 결과도 함께 첨부하세요.","네 교수님, 검사 결과 첨부해서 금요일 오후까지 제출하겠습니다.",적절
106,P053,3,"교수: 최종 보고서 마감이 금요일 6시인 것 알고 있죠?
나: 네, 지금 결론 부분 작성 중입니다.
교수: 표절 검사 결과도 함께 첨부하세요.",나도 알바 끝나고 7시 반쯤 도착할 듯 ㅋㅋ 늦는 김에 음료수 사감,부적절
107,P054,3,"회장: 오늘 정기모임 7시로 당겨졌어~
부원: 헐 나 수업 6시 반에 끝나는데 ㅠ
회장: 좀 늦어도 괜찮아, 안건만 들으면 됨",나도 알바 끝나고 7시 반쯤 도착할 듯 ㅋㅋ 늦는 김에 음료수 사감,적절
108,P054,3,"회장: 오늘 정기모임 7시로 당겨졌어~
부원: 헐 나 수업 6시 반에 끝나는데 ㅠ
회장: 좀 늦어도 괜찮아, 안건만 들으면 됨","네 교수님, 검사 결과 첨부해서 금요일 오후까지 제출하겠습니다.",부적절
109,P055,3,"거래처: 견적서 검토해보셨을까요?
나: 네, 내부 검토는 끝났습니다.
거래처: 수량 조정이 가능한지도 궁금합니다.",수량은 500개 단위로 조정 가능합니다. 조정안을 반영한 견적서를 다시 보내드리겠습니다.,적절
110,P055,3,"거래처: 견적서 검토해보셨을까요?
나: 네, 내부 검토는 끝났습니다.
거래처: 수량 조정이 가능한지도 궁금합니다.",축하 기념으로 이번 주말에 내가 쏠게 ㅋㅋ 뭐 먹고 싶은지 생각해놔,부적절
111,P056,3,"친구: 나 드디어 이직 최종 붙었다!!
나: 미쳤다 축하해!!!
친구: 담주부터 출근이야, 실감 안 나 ㅋㅋ",축하 기념으로 이번 주말에 내가 쏠게 ㅋㅋ 뭐 먹고 싶은지 생각해놔,적절
112,P056,3,"친구: 나 드디어 이직 최종 붙었다!!
나: 미쳤다 축하해!!!
친구: 담주부터 출근이야, 실감 안 나 ㅋㅋ",수량은 500개 단위로 조정 가능합니다. 조정안을 반영한 견적서를 다시 보내드리겠습니다.,부적절
113,P057,3,"친구: 어제 그 드라마 마지막화 봤어?
나: ㅇㅇ 봤지, 결말 실화냐
친구: 작가가 시즌2 하려고 저렇게 끝낸 듯 ㅋㅋ",아 맞다 나 낼 머리 자르러 감 ㅋㅋ 단발 어떨 거 같아?,적절
114,P057,3,"친구: 어제 그 드라마 마지막화 봤어?
나: ㅇㅇ 봤지, 결말 실화냐
친구: 작가가 시즌2 하려고 저렇게 끝낸 듯 ㅋㅋ",쿠폰 검증 API 응답 시간부터 확인해보죠. 재현 로그는 제가 정리해서 올리겠습니다.,부적절
