no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
13,직장 관계(상사·동료),갈등 상황,1,동료: 역할 분담은 다음 회의에서 다시 정하는 것으로 하겠습니다,그럼 다음부터는 지금 합의한 방식으로 진행하죠. 지금은 추가로 바꿀 건 없어 보여.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
14,선후배,정보 공유,2,"나: 아까 분위기가 좋지 않았는데 어떤 일이었나요?
선배: 확정되지 않은 내용을 먼저 전달했다는 연락을 받았어요",계속 이런 식이면 저도 더 이상 맞춰드리지 않겠습니다. 오늘 안에 결론이 나지 않으면 끝냅시다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
15,형제·자매,업무 대화,2,"나: 이번 일은 기준을 분명히 정했으면 해.
오빠: 고객사에 확정되지 않은 내용을 먼저 전달하면 곤란하지.",한 번만 더 그러면 관계를 끝내는 걸로 알게. 더 얘기할 필요도 없으니 당분간 연락하지 마.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
16,부모님,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 다음부터는 당사자와 먼저 상의할게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
17,부모님,일상 대화,3,"엄마: 그러고 보니 얘기해줄 게 있어.
나: 그래서 어떻게 됐어?
엄마: 퇴근길에 노을이 예뻐서 사진을 한참 찍었어",직접 해보니 느낌이 달랐겠다. 그 뒤에 이어진 일도 있었는지 궁금하다. 사진도 찍었어? 실제로 본 색감이 더 예뻤겠다.,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
18,부모님,질문·요청,4,"나: 아까 부탁할 게 있다고 했지?
아빠: 응, 내일 병원 갈 때 차로 좀 데려다줄 수 있니?
나: 몇 시까지 가야 하는데?
아빠: 아홉 시 반까지 접수해야 해.",그건 잘 모르겠고 일단 혼자 가봐. 지금은 신경 쓸 여유가 없어.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
19,직장 관계(상사·동료),고민·감정 상담,4,"나: 어디서부터 시작해야 할지 막히셨나요?
동료: 어디서부터 시작해야 할지 감이 오지 않습니다.
나: 네, 조금 더 구체적으로 말씀해주세요.
동료: 일이 한꺼번에 겹쳤을 때 우선순위를 어떻게 정해야 할까요?","우선 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 그다음 결과를 보고 다음 단계를 정하면 됩니다.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
20,직장 관계(상사·동료),정보 공유,2,"나: 현재 기준으로 결정된 내용이 있나요?
팀장: 공사 때문에 주차장은 토요일 오전에 이용할 수 없대","응, 전달한 내용대로 알고 있을게. 일정이 가까워지면 한 번 더 확인하죠.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
21,친구,갈등 상황,2,"나: 아까부터 표정이 안 좋던데 무슨 일 있었어?
친구: 다 같이 정한다더니 내 의견은 듣지도 않고 결정해서 기분이 안 좋았어.",그걸 그렇게까지 심각하게 받아들여? 다들 바쁜데 너만 생각할 수는 없잖아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
22,선후배,업무 대화,4,"나: 진행하다가 막힌 부분이 있으신가요?
선배: 급한 건 아니지만 부탁 하나 드려도 될까요?
나: 네, 어떤 부분을 도와드리면 될까요?
선배: 회의 시간을 네 시로 변경해서 참석자들에게 알려주시겠어요?","네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 완료되면 결과를 같이 확인하죠.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
23,직장 관계(상사·동료),업무 대화,1,팀장: 일정을 바꾸기 전에 담당자들과 먼저 상의했어야 합니다,이번 일은 그냥 넘어가지 않고 모두에게 알리겠습니다. 이번에는 반드시 대가를 치르게 하겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
24,선후배,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해요.
선배: 공용 공간을 쓰고 정리하지 않는 건 너무하잖아요",다음에는 저도 똑같이 대응하겠습니다. 다른 사람들까지 모두 끌어들여 확인하겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
25,친구,고민·감정 상담,2,"나: 필요한 거 있으면 말해.
친구: 내가 쓴 메시지가 너무 날카로운지 보내기 전에 봐줄래?",아무거나 편한 대로 하면 되지 않을까? 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
26,연인,고민·감정 상담,2,"나: 계속 마음에 남는 일이 있는 것 같아.
연인: 사과는 받았는데 같은 일이 반복될까 봐 마음이 놓이지 않아",네가 제대로 했으면 이런 문제도 없었잖아. 다른 사람들까지 피해 보게 하지 마.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
28,형제·자매,정보 공유,1,형: 병원 예약이 다음 주 화요일 오전 열 시로 잡혔어. 캘린더에 적어줄래?,"응, 인원과 시간 확인해서 예약해둘게. 혹시 문제가 생기면 먼저 말할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
31,친구,일상 대화,2,"나: 마음에 걸리는 일 있으면 편하게 말해.
친구: 요즘 사소한 일에도 예민해져서 나도 좀 당황스러워",그걸 계속 신경 쓸 필요가 있어? 그 얘기를 언제까지 할 건데?,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
32,부모님,일상 대화,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 처음으로 자전거 타고 출근했는데 생각보다 할 만했어",생각보다 기억에 남는 일이었나 보네. 그 경험이 왜 기억에 남았는지 알고 싶어. 직접 해보니 힘든 점보다 좋았던 점이 더 컸어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
33,친구,고민·감정 상담,4,"나: 서로 불편했던 부분은 한번 정리했으면 해.
친구: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 응, 네 입장부터 말해봐.
친구: 말다툼 끝에 너무 심한 말을 해서 후회돼",생각을 조금만 했어도 이런 일은 안 생겼어. 너랑 이야기하면 항상 답답해.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
35,부모님,갈등 상황,2,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
엄마: 문제가 있으면 공개적으로 말하기 전에 나한테 먼저 알려주세요",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 요청한 부분만 정확히 반영할게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
36,친구,질문·요청,4,"나: 지난번에 물어본 건 답 왔어?
친구: 일정이 정해져서 미리 알려주려고 했어.
나: 그래, 현재 상황이 어떻게 돼?
친구: 그 내용은 다른 사람들에게도 공유해도 돼?","응, 그 내용은 공유해도 돼. 추가로 확인되는 게 있으면 이어서 알려줘.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
37,형제·자매,업무 대화,4,"나: 오늘 배포할 내용 남았어?
동생: 응, 수정한 화면을 QA 환경에 올려줄 수 있어?
나: 몇 시까지 필요해?
동생: 세 시 전까지면 돼.","응, 두 시 반까지 올리고 동작 확인도 한 번 해볼게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
38,형제·자매,갈등 상황,4,"나: 내가 놓친 게 있으면 말해줘.
언니: 아까는 감정적으로 말해서 다시 정리하고 싶어.
나: 서로 합의해야 할 기준이 뭐라고 생각해?
언니: 역할을 바꾸기 전에 당사자에게 먼저 설명해줄 수 있어?","글쎄, 나는 지금 다른 일 보고 있어. 지금은 답하기 어려워.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
39,친구,고민·감정 상담,2,"나: 내가 놓친 게 있으면 말해줘.
친구: 상대가 내 감정을 가볍게 넘긴 것 같아서 속상해",정말 책임감이 없는 것 같아. 자꾸 사람을 실망시키네.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
40,형제·자매,업무 대화,4,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
형: 나도 아까 일은 짚고 넘어가고 싶어.
나: 응, 차분히 들어볼게.
형: 수정 요청을 확인하지 않은 채 배포한 건 문제였어.",계속 말이 안 통하면 아예 연락하지 말자. 이번 일로 관계가 깨져도 상관없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
41,직장 관계(상사·동료),업무 대화,2,"나: 확인해드릴 내용이 있나요?
팀장: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 필요한 시간에 맞춰둘게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
42,연인,질문·요청,2,"나: 서로 다르게 이해한 부분이 있는 것 같아.
연인: 내 물건을 쓸 때는 짧게라도 알려줄래?",또 남 탓할 생각부터 하는 거야? 대체 언제쯤 제대로 할 거야?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
43,형제·자매,질문·요청,2,"나: 아까 고민되는 게 있다고 했지?
오빠: 김치냉장고에서 소리가 나는데 바로 서비스센터에 연락해야 할까?",내 생각에는 평소와 다른 큰 소리가 계속 나면 모델명과 소리가 나는 상황을 적어두고 서비스센터에 문의하는 게 안전해. 해결되지 않으면 조건을 하나씩 빼면서 원인을 좁혀봐.,적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
44,부모님,갈등 상황,4,"나: 서로 다르게 이해한 부분이 있는 것 같아.
아빠: 서로 오해한 부분이 있는 것 같아.
나: 응, 네 입장부터 말해봐.
아빠: 일정을 바꾸려면 당사자에게 먼저 얘기했어야죠",그 정도도 혼자 못 하면 뭘 할 수 있는데? 말해봤자 또 똑같겠지.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
45,직장 관계(상사·동료),업무 대화,1,선임: 회의 자료의 수치와 원본 데이터를 대조해주실 수 있을까요?,"네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 빠뜨리지 않도록 메모해두겠습니다.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
46,친구,질문·요청,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
친구: 내 물건을 쓸 때는 짧게라도 알려줄래?",매번 같은 실수를 하는 것도 능력이다. 정말 믿고 맡길 수가 없다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
47,연인,일상 대화,1,연인: 요즘 야근이 계속돼서 생활 리듬이 완전히 깨졌어.,계속 제대로 못 쉬었구나. 오늘은 일 생각 잠깐 내려놓고 일찍 쉬자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
48,부모님,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 공용 공간을 쓰고 정리하지 않는 건 너무하잖아",이대로면 책임이 누구한테 있는지 공식적으로 따질 거야. 이번엔 절대 조용히 넘어가지 않을 거야.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
49,친구,질문·요청,4,"나: 뭐 도와줄 일 있어?
친구: 혼자 해보다가 잘 안 되는 게 있어.
나: 언제까지 필요한데?
친구: 이번 주 일정표에서 바뀐 담당자를 반영해줄래?",그건 다른 사람한테 물어보는 게 빠를 것 같아. 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
50,부모님,질문·요청,4,"나: 확인해줬으면 하는 게 있어?
아빠: 내가 놓친 게 있는지 봐줬으면 해.
나: 뭔데? 말해봐.
아빠: 오는 길에 약국에 들러서 소화제 하나만 사다 줄래?",나중에 생각나면 답할게. 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
51,친구,질문·요청,1,친구: 집주인에게 보낼 문자가 어색하지 않은지 읽어봐 줄래?,지금 꼭 정해야 해? 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
52,형제·자매,질문·요청,2,"나: 내가 놓친 게 있으면 말해줘.
형: 문제가 생기면 공개적으로 지적하기 전에 먼저 이야기해줄래?",네가 먼저 사과하지 않으면 나도 절대 물러서지 않을 거야. 이제부터는 나도 배려할 생각 없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
53,선후배,고민·감정 상담,2,"나: 선택지 때문에 망설이는 부분이 있나요?
후배: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?","이 경우에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 해본 뒤 마음이 더 복잡해지면 믿을 만한 사람에게 다시 이야기해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
54,부모님,갈등 상황,2,"나: 내가 놓친 게 있으면 말해줘.
아빠: 내 물건을 쓰기 전에 한마디만 해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 오늘 일정 안에서 처리해둘게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
55,연인,일상 대화,1,연인: 요즘 사소한 일에도 예민해져서 나도 좀 당황스러워,남들도 다 비슷하게 힘들어. 계속 생각한다고 달라지는 것도 없잖아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
56,직장 관계(상사·동료),업무 대화,2,"나: 아까 분위기가 좋지 않았는데 어떤 일이었나요?
팀장: 수정 요청을 확인하지 않은 채 배포한 건 문제가 있습니다",다시 이런 일이 생기면 바로 문제를 확대하겠습니다. 나중에 후회하셔도 소용없습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
57,연인,갈등 상황,2,"나: 계속 마음에 남는 일이 있는 것 같아.
연인: 같은 일이 반복되니까 내가 존중받지 못하는 기분이야",그 정도로까지 마음 쓸 일은 아닌 것 같은데. 그냥 바쁘게 지내면 금방 잊어.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
58,직장 관계(상사·동료),고민·감정 상담,1,동료: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?,"가장 먼저 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 대화가 격해지면 잠깐 멈추고 다시 이야기할 시간을 정해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
59,형제·자매,질문·요청,1,오빠: 다음부터 일정을 바꾸기 전에 먼저 말해줄래?,"좋아, 그럼 앞으로 서로 없는 사람처럼 지내자. 내가 얼마나 화났는지 확실히 보여줄게.",부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
60,친구,고민·감정 상담,3,"친구: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
친구: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해",그 상황이면 누구라도 힘들었을 거야. 조금 가라앉으면 다음 일을 같이 생각해보자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
61,선후배,고민·감정 상담,1,후배: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해요,기대했던 만큼 더 속상했겠다. 네 마음부터 챙기는 게 먼저인 것 같아요.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
62,선후배,일상 대화,2,"나: 신경 쓰이는 일이 있으신 것 같아요.
선배: 혼자 밥 먹는 날이 계속되니까 생각보다 외롭더라",혼자 버티느라 많이 지쳤겠네요. 필요하면 제가 옆에서 같이 정리해보겠습니다.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
63,부모님,갈등 상황,4,"나: 감정 더 상하기 전에 차분히 얘기하자.
엄마: 내가 불편했던 부분을 말하고 싶어.
나: 응, 차분히 들어볼게.
엄마: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 앞으로는 결정 전에 한 번 더 이야기하자.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
65,연인,질문·요청,3,"연인: 방법을 몇 가지 찾아봤는데 뭐가 맞는지 모르겠어.
나: 선택지가 어떻게 되는데?
연인: React에서 useEffect가 계속 반복 실행되는데 어디부터 확인해야 할까?","복잡하게 보기보다 의존성 배열에 매 렌더링마다 새로 만들어지는 함수나 객체가 들어가는지 먼저 확인하고, 필요하면 useCallback이나 useMemo로 참조를 고정해봐. 문제가 생긴 직전 변경 사항부터 역순으로 확인해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
66,연인,질문·요청,3,"연인: 현재 상황만 간단히 알려줄게.
나: 시간은 그대로야?
연인: 배송지를 회사로 바꿔도 괜찮아?",회사로 변경해도 문제없어. 필요하면 그때 다시 조정하자.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
68,부모님,정보 공유,2,"나: 지금 기준으로 정해진 게 있어?
아빠: 오늘 회의는 세 시에서 네 시로 변경됐어요","좋아, 그 내용은 기억해둘게. 변경된 부분은 메모해둘게. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
69,친구,정보 공유,2,"나: 이번 일은 기준을 분명히 정했으면 해.
친구: 일정 변경 사실을 나한테만 늦게 알려줘서 준비할 시간이 없었어",끝까지 그렇게 나오면 나도 가만있지 않을 거야. 누가 더 불편해지는지 한번 해보자.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
70,선후배,업무 대화,4,"나: 현재 기준으로 결정된 내용이 있나요?
선배: 관련된 분들과 이야기해서 정리했습니다.
나: 네, 어떻게 정해졌나요?
선배: 오늘 회의는 세 시에서 네 시로 변경됐어요",확인했습니다. 공유된 일정과 기준에 맞춰 진행하겠습니다. 관련된 사람에게도 같은 내용으로 전달하겠습니다.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
71,선후배,업무 대화,2,"나: 제가 도울 수 있는 일이면 말씀해주세요.
후배: 오늘 안에 수정된 화면을 QA 환경에 올려주실 수 있나요?",그 얘기는 다음에 하죠. 지금은 답하기 어려워요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
72,선후배,업무 대화,3,"선배: 확인된 내용이 있어서 말씀드리려고 합니다.
나: 그 기준으로 진행하면 되는 건가요?
선배: 보고서 검토는 팀장님 확인 후 마무리하겠습니다","네, 전달해주신 내용대로 업무를 진행하겠습니다. 그 내용은 제가 메모해두겠습니다.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
73,선후배,고민·감정 상담,4,"나: 아까부터 표정이 좋지 않던데 무슨 일 있으세요?
후배: 어디서부터 말씀드려야 할지 모르겠는데 조금 힘듭니다.
나: 지금 가장 힘든 부분이 무엇인가요?
후배: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해요",그 말을 꺼내는 것도 쉽지 않았겠다. 한 번의 결과로 네 노력이 사라지는 건 아니야.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
75,연인,갈등 상황,3,"연인: 이번 일은 솔직히 서운한 부분이 있어.
나: 내가 뭘 놓쳤는지 말해줘.
연인: 내가 싫다고 한 이야기를 친구들 앞에서 한 건 기분 나빴어",계속 이런 식이면 나도 더 이상 맞춰주지 않을 거야. 이번 일로 관계가 깨져도 상관없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
76,부모님,고민·감정 상담,2,"나: 마음에 걸리는 일 있으면 편하게 말해.
아빠: 요즘 친구들을 만나도 혼자인 느낌이 들어",계속 신경 쓰였을 텐데 잘 말해줬어. 혼자 감당하지 말고 힘들면 나한테 말해.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
77,연인,갈등 상황,4,"나: 아까 일은 그냥 넘기지 말고 얘기하자.
연인: 나도 아까 일은 짚고 넘어가고 싶어.
나: 어떤 부분이 가장 불편했어?
연인: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러워요",한 번만 더 그러면 관계를 끝내는 걸로 알게. 이번엔 절대 조용히 넘어가지 않을 거야.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
78,직장 관계(상사·동료),업무 대화,2,"나: 계속 마음에 남는 일이 있으신 것 같아요.
선임: 회의에서 제 설명을 끝까지 듣지 않고 결론을 낸 건 아쉽습니다",우선 태도부터 고치셔야 할 것 같습니다. 결국 문제는 항상 본인이네요.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
79,형제·자매,정보 공유,3,"오빠: 하나만 도와줄 수 있어?
나: 응, 구체적으로 얘기해봐.
오빠: 숙소 체크인은 세 시부터 가능하대. 이동 시간 다시 계산해줄래?","응, 내가 맡아서 확인해볼게. 요청한 부분만 정확히 반영할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
80,직장 관계(상사·동료),업무 대화,4,"나: 방법을 같이 생각해봤으면 하는 부분이 있나요?
팀장: 어떻게 하는 게 좋을지 고민되는 부분이 있어요.
나: 어떤 기준으로 결정하고 싶으신가요?
팀장: 업무가 한꺼번에 몰렸을 때 우선순위를 어떻게 정하는 게 좋을까요?","우선 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 우선순위가 애매하면 마감과 영향 범위부터 비교해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
81,선후배,업무 대화,3,"후배: 배포 이후 상황을 확인해봤어요.
나: 예상했던 결과와 비슷한가요?
후배: 이번 주 보고서는 예상보다 빨리 마무리됐습니다","오, 결과가 나왔군요. 후속 작업에 영향이 있는지도 궁금합니다. 진행하면서 예상과 달랐던 부분은 없었어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
82,연인,고민·감정 상담,2,"나: 혼자 하다가 막힌 게 있어?
연인: 마음이 너무 답답한데 산책하면서 잠깐 이야기해줄래?",일단 넘어가고 다른 얘기하자. 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
83,선후배,고민·감정 상담,2,"나: 제가 도울 수 있는 일이면 말씀해주세요.
후배: 결정을 못 내리겠어. 제가 정리한 장단점을 같이 봐주실 수 있나요?","몰라, 네가 알아서 해요. 지금은 답하기 어려워요.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
