no,pair_id,source_type,label,persona,scenario,turn_count,history,response,orig_no_history,orig_no_response,orig_reason
11,p10,matched,적절,선후배,업무 대화,4,"나: 진행하다가 막힌 부분이 있으신가요?
선배: 급한 건 아니지만 부탁 하나 드려도 될까요?
나: 네, 어떤 부분을 도와드리면 될까요?
선배: 회의 시간을 네 시로 변경해서 참석자들에게 알려주시겠어요?","네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 완료되면 결과를 같이 확인하죠.",22,22,P2
12,p11,matched,적절,형제·자매,정보 공유,1,형: 병원 예약이 다음 주 화요일 오전 열 시로 잡혔어. 캘린더에 적어줄래?,"응, 인원과 시간 확인해서 예약해둘게. 혹시 문제가 생기면 먼저 말할게.",28,28,P2
13,p12,matched,적절,부모님,일상 대화,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 처음으로 자전거 타고 출근했는데 생각보다 할 만했어",생각보다 기억에 남는 일이었나 보네. 그 경험이 왜 기억에 남았는지 알고 싶어. 직접 해보니 힘든 점보다 좋았던 점이 더 컸어?,32,32,P4
14,p13,matched,적절,부모님,갈등 상황,2,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
엄마: 문제가 있으면 공개적으로 말하기 전에 나한테 먼저 알려주세요",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 요청한 부분만 정확히 반영할게.,35,35,P2
15,p14,matched,적절,친구,질문·요청,4,"나: 지난번에 물어본 건 답 왔어?
친구: 일정이 정해져서 미리 알려주려고 했어.
나: 그래, 현재 상황이 어떻게 돼?
친구: 그 내용은 다른 사람들에게도 공유해도 돼?","응, 그 내용은 공유해도 돼. 추가로 확인되는 게 있으면 이어서 알려줘.",36,36,P5
16,p15,matched,적절,형제·자매,업무 대화,4,"나: 오늘 배포할 내용 남았어?
동생: 응, 수정한 화면을 QA 환경에 올려줄 수 있어?
나: 몇 시까지 필요해?
동생: 세 시 전까지면 돼.","응, 두 시 반까지 올리고 동작 확인도 한 번 해볼게.",37,37,P2
17,p16,matched,적절,직장 관계(상사·동료),업무 대화,2,"나: 확인해드릴 내용이 있나요?
팀장: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 필요한 시간에 맞춰둘게.",41,41,P2
18,p17,matched,적절,형제·자매,질문·요청,2,"나: 아까 고민되는 게 있다고 했지?
오빠: 김치냉장고에서 소리가 나는데 바로 서비스센터에 연락해야 할까?",내 생각에는 평소와 다른 큰 소리가 계속 나면 모델명과 소리가 나는 상황을 적어두고 서비스센터에 문의하는 게 안전해. 해결되지 않으면 조건을 하나씩 빼면서 원인을 좁혀봐.,43,43,P3
19,p18,matched,적절,직장 관계(상사·동료),업무 대화,1,선임: 회의 자료의 수치와 원본 데이터를 대조해주실 수 있을까요?,"네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 빠뜨리지 않도록 메모해두겠습니다.",45,45,P2
20,p19,matched,적절,연인,일상 대화,1,연인: 요즘 야근이 계속돼서 생활 리듬이 완전히 깨졌어.,계속 제대로 못 쉬었구나. 오늘은 일 생각 잠깐 내려놓고 일찍 쉬자.,47,47,P1
21,p20,matched,적절,선후배,고민·감정 상담,2,"나: 선택지 때문에 망설이는 부분이 있나요?
후배: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?","이 경우에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 해본 뒤 마음이 더 복잡해지면 믿을 만한 사람에게 다시 이야기해봐.",53,53,P3
22,p21,matched,적절,부모님,갈등 상황,2,"나: 내가 놓친 게 있으면 말해줘.
아빠: 내 물건을 쓰기 전에 한마디만 해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 오늘 일정 안에서 처리해둘게.,54,54,P2
23,p22,matched,적절,직장 관계(상사·동료),고민·감정 상담,1,동료: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?,"가장 먼저 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 대화가 격해지면 잠깐 멈추고 다시 이야기할 시간을 정해봐.",58,58,P3
24,p23,matched,적절,친구,고민·감정 상담,3,"친구: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
친구: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해",그 상황이면 누구라도 힘들었을 거야. 조금 가라앉으면 다음 일을 같이 생각해보자.,60,60,P1
25,p24,matched,적절,선후배,고민·감정 상담,1,후배: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해요,기대했던 만큼 더 속상했겠다. 네 마음부터 챙기는 게 먼저인 것 같아요.,61,61,P1
26,p25,matched,적절,선후배,일상 대화,2,"나: 신경 쓰이는 일이 있으신 것 같아요.
선배: 혼자 밥 먹는 날이 계속되니까 생각보다 외롭더라",혼자 버티느라 많이 지쳤겠네요. 필요하면 제가 옆에서 같이 정리해보겠습니다.,62,62,P1
27,p26,matched,적절,부모님,갈등 상황,4,"나: 감정 더 상하기 전에 차분히 얘기하자.
엄마: 내가 불편했던 부분을 말하고 싶어.
나: 응, 차분히 들어볼게.
엄마: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 앞으로는 결정 전에 한 번 더 이야기하자.,63,63,P2
28,p27,matched,적절,연인,질문·요청,3,"연인: 방법을 몇 가지 찾아봤는데 뭐가 맞는지 모르겠어.
나: 선택지가 어떻게 되는데?
연인: React에서 useEffect가 계속 반복 실행되는데 어디부터 확인해야 할까?","복잡하게 보기보다 의존성 배열에 매 렌더링마다 새로 만들어지는 함수나 객체가 들어가는지 먼저 확인하고, 필요하면 useCallback이나 useMemo로 참조를 고정해봐. 문제가 생긴 직전 변경 사항부터 역순으로 확인해봐.",65,65,P3
29,p28,matched,적절,연인,질문·요청,3,"연인: 현재 상황만 간단히 알려줄게.
나: 시간은 그대로야?
연인: 배송지를 회사로 바꿔도 괜찮아?",회사로 변경해도 문제없어. 필요하면 그때 다시 조정하자.,66,66,P5
30,p29,matched,적절,부모님,정보 공유,2,"나: 지금 기준으로 정해진 게 있어?
아빠: 오늘 회의는 세 시에서 네 시로 변경됐어요","좋아, 그 내용은 기억해둘게. 변경된 부분은 메모해둘게. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?",68,68,P4
31,p30,matched,적절,선후배,업무 대화,4,"나: 현재 기준으로 결정된 내용이 있나요?
선배: 관련된 분들과 이야기해서 정리했습니다.
나: 네, 어떻게 정해졌나요?
선배: 오늘 회의는 세 시에서 네 시로 변경됐어요",확인했습니다. 공유된 일정과 기준에 맞춰 진행하겠습니다. 관련된 사람에게도 같은 내용으로 전달하겠습니다.,70,70,P5
32,p31,matched,적절,선후배,업무 대화,3,"선배: 확인된 내용이 있어서 말씀드리려고 합니다.
나: 그 기준으로 진행하면 되는 건가요?
선배: 보고서 검토는 팀장님 확인 후 마무리하겠습니다","네, 전달해주신 내용대로 업무를 진행하겠습니다. 그 내용은 제가 메모해두겠습니다.",72,72,P5
33,p32,matched,적절,선후배,고민·감정 상담,4,"나: 아까부터 표정이 좋지 않던데 무슨 일 있으세요?
후배: 어디서부터 말씀드려야 할지 모르겠는데 조금 힘듭니다.
나: 지금 가장 힘든 부분이 무엇인가요?
후배: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해요",그 말을 꺼내는 것도 쉽지 않았겠다. 한 번의 결과로 네 노력이 사라지는 건 아니야.,73,73,P1
34,p33,matched,적절,부모님,고민·감정 상담,2,"나: 마음에 걸리는 일 있으면 편하게 말해.
아빠: 요즘 친구들을 만나도 혼자인 느낌이 들어",계속 신경 쓰였을 텐데 잘 말해줬어. 혼자 감당하지 말고 힘들면 나한테 말해.,76,76,P1
35,p34,matched,적절,형제·자매,정보 공유,3,"오빠: 하나만 도와줄 수 있어?
나: 응, 구체적으로 얘기해봐.
오빠: 숙소 체크인은 세 시부터 가능하대. 이동 시간 다시 계산해줄래?","응, 내가 맡아서 확인해볼게. 요청한 부분만 정확히 반영할게.",79,79,P2
36,p35,matched,적절,직장 관계(상사·동료),업무 대화,4,"나: 방법을 같이 생각해봤으면 하는 부분이 있나요?
팀장: 어떻게 하는 게 좋을지 고민되는 부분이 있어요.
나: 어떤 기준으로 결정하고 싶으신가요?
팀장: 업무가 한꺼번에 몰렸을 때 우선순위를 어떻게 정하는 게 좋을까요?","우선 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 우선순위가 애매하면 마감과 영향 범위부터 비교해봐.",80,80,P3
37,p36,matched,적절,선후배,업무 대화,3,"후배: 배포 이후 상황을 확인해봤어요.
나: 예상했던 결과와 비슷한가요?
후배: 이번 주 보고서는 예상보다 빨리 마무리됐습니다","오, 결과가 나왔군요. 후속 작업에 영향이 있는지도 궁금합니다. 진행하면서 예상과 달랐던 부분은 없었어?",81,81,P4
38,p37,matched,적절,직장 관계(상사·동료),고민·감정 상담,2,"나: 확인해드릴 내용이 있나요?
동료: 이 얘기를 어디서부터 풀어야 할지 모르겠어요. 조금만 들어줘","응, 제가 맡아서 확인해보겠습니다. 진행 상태도 중간에 알려드릴게요.",85,85,P2
39,p38,matched,적절,형제·자매,일상 대화,2,"나: 전에 말한 일 결과 나왔어?
언니: 방 정리하다가 예전 여행 사진을 잔뜩 찾았어",그 얘기 들으니 궁금해진다. 의외였던 부분도 있었을 것 같네. 사진 보면서 가장 먼저 떠오른 기억은 뭐였어?,86,86,P4
40,p39,matched,적절,선후배,일상 대화,4,"나: 요즘 기운이 없어 보이는데 괜찮아?
후배: 집에만 있으면 괜히 기분이 가라앉는 날이 많아졌어요.
나: 최근에 특별히 힘든 일이 있었어?
후배: 뚜렷한 이유는 없는데 자꾸 의욕이 없어져요.",그럴 때는 이유를 당장 찾아내려고 애쓰지 않아도 돼. 며칠 더 계속되면 혼자 견디지 말고 주변에 도움도 요청해봐.,89,89,P1
41,p40,matched,적절,선후배,고민·감정 상담,3,"선배: 비슷한 경험이 있으시면 조언을 듣고 싶습니다.
나: 어떤 점이 가장 고민되세요?
선배: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?","내 생각에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 지금 당장 해결하려 하기보다 대화할 수 있는 시간을 먼저 잡아봐.",90,90,P3
42,p41,matched,적절,친구,고민·감정 상담,4,"나: 마음에 걸리는 일 있으면 편하게 말해.
친구: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
친구: 요즘은 퇴근하고 집에 오면 아무것도 하고 싶지 않아",그 얘기를 꺼내기까지 생각이 많았겠다. 혼자 계속 생각하고 있었던 것 같네. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,92,92,P4
43,p42,matched,적절,직장 관계(상사·동료),업무 대화,3,"선임: 혼자 생각해봤지만 결정을 내리지 못했습니다.
나: 지금까지 시도해본 방법이 있나요?
선임: 업무가 한꺼번에 몰렸을 때 우선순위를 어떻게 정하는 게 좋을까요?","이 경우에는 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 현재 할 수 있는 범위와 나중에 할 일을 따로 나눠봐.",93,93,P3
44,p43,matched,적절,친구,고민·감정 상담,2,"나: 요즘 생각이 많아 보이더라. 괜찮아?
친구: 요즘 작은 실수에도 스스로를 너무 몰아붙이는 것 같아",그런 기분이 들면 혼자 견디기 힘들지. 서두르지 말고 편하게 얘기해. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,95,95,P4
45,p44,matched,적절,선후배,정보 공유,2,"나: 일정은 어떻게 정해졌나요?
후배: 휴가 신청은 이번 주 안에 제출하면 된대","응, 전달한 내용대로 알고 있을게. 다른 내용은 그대로 두면 됩니다.",99,99,P5
46,p45,matched,적절,형제·자매,정보 공유,4,"나: 변경된 내용 있으면 말해줘.
언니: 계획을 조금 조정해서 말해두려고.
나: 그 기준으로 진행하면 되는 거야?
언니: 예약 인원은 네 명으로 최종 확인됐어",확인했어. 필요한 준비는 그 일정에 맞출게. 변경 사항이 생기면 다시 알려줘.,102,102,P5
47,p46,matched,적절,부모님,고민·감정 상담,2,"나: 요즘 집에 혼자 계시면 적적하지 않아?
아빠: 네 엄마가 여행 가고 나니까 집이 너무 조용해서 영 적응이 안 된다.",평소보다 더 허전하겠네. 저녁에 내가 들를 테니까 같이 밥 먹자.,104,104,P1
48,p47,matched,적절,직장 관계(상사·동료),업무 대화,3,"선임: 변경된 부분이 하나 있습니다.
나: 네, 확인된 내용을 말씀해주세요.
선임: 고객사 회신은 내일 오전에 받을 예정입니다","네, 해당 기준으로 반영해두겠습니다. 현재 기준에서는 더 정할 건 없어요.",105,105,P5
49,p48,matched,적절,친구,갈등 상황,3,"친구: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 어떻게 했으면 좋겠어?
친구: 늦어질 때는 짧게라도 연락해줄 수 있어?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 필요한 시간에 맞춰둘게.,106,106,P2
50,p49,matched,적절,부모님,갈등 상황,1,아빠: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?,알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 다른 사람에게 말하기 전에 꼭 확인할게.,108,108,P2
51,p50,matched,적절,연인,고민·감정 상담,2,"나: 요즘 좀 지쳐 보이는데 괜찮아?
연인: 지금은 혼자 해결하려 하지 말고 주변에 도움을 구해보려고 해","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자. 필요하면 그때 다시 조정하자.",110,110,P5
52,p51,matched,적절,부모님,질문·요청,2,"나: 오늘은 평소보다 말이 없네. 무슨 일 있었어?
엄마: 잘 쉬고 있는데도 피곤한데 혹시 내가 무리하고 있는 것처럼 보여?",생각이 많아질 수밖에 없는 상황이었네. 지금까지 버틴 것만으로도 충분히 잘했어.,111,111,P1
53,p52,matched,적절,부모님,일상 대화,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 주말에 동네 새로 생긴 빵집 갔는데 소금빵이 괜찮더라","응, 그 뒤 이야기도 궁금하다. 얘기만 들어도 장면이 조금 그려진다. 다른 메뉴도 먹어봤어, 아니면 소금빵이 제일 괜찮았어?",112,112,P4
54,p53,matched,적절,친구,질문·요청,1,친구: 이번 모임 예약을 대신해줄 수 있어?,"응, 인원과 시간 확인해서 예약해둘게. 오늘 일정 안에서 처리해둘게.",113,113,P2
55,p54,matched,적절,연인,갈등 상황,3,"연인: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 어떻게 했으면 좋겠어?
연인: 연락 없이 늦어져서 걱정도 됐고 서운하기도 했어",많이 긴장되고 부담됐겠다. 지금 느끼는 감정을 그대로 인정해도 괜찮아.,114,114,P1
56,p55,matched,적절,형제·자매,업무 대화,2,"나: 아까 물어보려던 건 해결했어?
오빠: 배포 전에 꼭 확인해야 할 항목을 어떤 순서로 보면 좋을까?","가장 먼저 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 정상 동작하는 경우와 비교하면 차이를 빨리 찾을 수 있어.",115,115,P3
57,p56,matched,적절,선후배,업무 대화,2,"나: 혼자 판단하기 어려운 일이 있으신가요?
후배: 보고서 수치가 다를 때 원인을 효율적으로 찾는 방법이 있을까요?","복잡하게 보기보다 원본 데이터의 기준일과 필터 조건부터 맞춘 뒤, 계산식과 수기 입력된 셀을 차례로 비교하는 게 빨라. 재현 조건을 정리한 뒤 한 가지 조건씩 바꿔보는 게 좋아.",117,117,P3
58,p57,matched,적절,직장 관계(상사·동료),고민·감정 상담,2,"나: 요즘 많이 지쳐 보이는데 괜찮으세요?
동료: 팀에서 내 역할이 자꾸 바뀌니까 제가 필요한 사람인지 모르겠어요",그랬구나. 요즘 많이 지쳤나 보네요. 그 상황이 왜 마음에 남는지 이해돼. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,118,118,P4
59,p58,matched,적절,직장 관계(상사·동료),갈등 상황,2,"나: 이번 일은 기준을 분명히 정했으면 합니다.
팀장: 상대가 계속 약속을 바꾸는데 어디까지 맞춰줘야 할까요?","우선 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 혼자 판단하기 어렵다면 관련된 사람과 기준부터 맞춰봐.",122,122,P3
60,p59,matched,적절,직장 관계(상사·동료),업무 대화,2,"나: 아까 문의하실 내용이 있다고 들었어요.
선임: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 끝나면 바로 알려드릴게요.",123,123,P2
61,p60,matched,적절,형제·자매,일상 대화,2,"나: 오늘 있었던 일 중에 기억나는 거 있어?
형: 주말에 동네 새로 생긴 빵집 갔는데 소금빵이 괜찮더라","그 얘기 들으니 궁금해진다. 처음 시작할 때와 느낌이 달라졌을 것 같아. 다른 메뉴도 먹어봤어, 아니면 소금빵이 제일 괜찮았어?",124,124,P4
62,p61,matched,적절,직장 관계(상사·동료),업무 대화,3,"선임: 관련된 분들과 이야기해서 정리했습니다.
나: 네, 어떻게 정해졌나요?
선임: 고객사 회신은 내일 오전에 받을 예정입니다","네, 전달해주신 내용대로 업무를 진행하겠습니다. 관련된 사람에게도 같은 내용으로 전달하겠습니다.",126,126,P5
63,p62,matched,적절,선후배,일상 대화,3,"선배: 요즘 같은 생각이 자꾸 반복돼요.
나: 지금 가장 힘든 부분이 무엇인가요?
선배: 혼자 밥 먹는 날이 계속되니까 생각보다 외롭더라",그랬구나. 많이 마음 쓰였겠다. 한 번의 결과로 네 노력이 사라지는 건 아니야.,128,128,P1
64,p63,matched,적절,연인,정보 공유,2,"나: 확인해야 할 내용은 다 정리됐어?
연인: 택배는 오늘 저녁 여덟 시쯤 도착 예정이래",알겠어. 일정이 그렇게 정해졌구나. 일정이 가까워지면 다시 한 번 확인하자. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,130,130,P4
65,p64,matched,적절,부모님,정보 공유,3,"엄마: 변경된 부분이 하나 있어.
나: 시간은 그대로야?
엄마: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어",확인됐구나. 관련해서 준비할 게 있는지도 봐야겠다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,131,131,P4
66,p65,matched,적절,형제·자매,질문·요청,2,"나: 아까 물어볼 게 있다던데 뭔데?
형: 이번 모임 예약을 대신해줄 수 있어?","응, 인원과 시간 확인해서 예약해둘게. 처리한 뒤 한 번 더 확인할게.",132,132,P2
67,p66,matched,적절,친구,질문·요청,3,"친구: 관련된 사람들과 얘기해서 정리했어.
나: 그 기준으로 진행하면 되는 거야?
친구: 예약 인원은 네 명으로 넣으면 되는 거지?","응, 네 명으로 넣으면 돼. 그 내용은 내가 메모해둘게.",133,133,P5
68,p67,matched,적절,선후배,일상 대화,2,"나: 지난번에 말씀하신 일은 어떻게 됐나요?
후배: 어제 혼자 전시회에 갔는데 천천히 볼 수 있어서 오히려 좋았어요","응, 그 뒤 이야기도 궁금하다. 네가 어떤 부분을 좋아했는지 더 듣고 싶어. 작품 중에서 제일 오래 보고 온 건 뭐였어?",135,135,P4
69,p68,matched,적절,형제·자매,질문·요청,4,"나: 선택지 때문에 망설이는 게 있어?
언니: 일단 해보기 전에 한 번 물어보고 싶었어.
나: 지금까지 해본 건 뭐가 있어?
언니: 노트북이 느려졌는데 포맷하기 전에 해볼 만한 게 있을까?","내 생각에는 포맷하기 전에 시작 프로그램과 저장 공간부터 정리하고, 작업 관리자에서 자원을 많이 쓰는 프로그램을 확인해봐. 확인한 순서와 결과를 짧게 메모해두는 것도 좋아.",138,138,P3
70,p69,matched,적절,선후배,업무 대화,2,"나: 아까 연락 주신 이유가 부탁할 내용 때문인가요?
선배: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 관련된 내용까지 같이 확인해보겠습니다.",140,140,P2
71,p70,matched,적절,형제·자매,질문·요청,3,"언니: 일단 지금 기준으로 결정된 게 있어.
나: 응, 확인된 내용 말해줘.
언니: 토요일과 일요일 중 어느 날이 더 편해?",내 일정은 일요일이 더 여유 있어. 다른 내용은 그대로 두면 돼.,142,142,P5
72,p71,matched,적절,선후배,정보 공유,2,"나: 아까 말씀하신 계획은 그대로인가요?
후배: 교육 일정은 월요일과 수요일로 정해졌어요",좋아. 현재 확정된 내용으로 정리해두겠습니다. 변경 사항이 생기면 다시 알려주세요.,143,143,P5
73,p72,matched,적절,선후배,고민·감정 상담,1,선배: 번아웃인지 단순히 피곤한 건지 구분하려면 뭘 살펴봐야 할까요?,"이 경우에는 수면과 식사, 집중력 저하가 얼마나 오래됐는지 먼저 기록해보고, 쉬어도 회복되지 않으면 상담이나 진료도 고려해봐. 대화가 격해지면 잠깐 멈추고 다시 이야기할 시간을 정해봐.",144,144,P3
74,p73,matched,적절,직장 관계(상사·동료),업무 대화,1,동료: 이번 주 일정표에 변경된 담당자를 반영해주실 수 있나요?,알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 완료되면 결과를 같이 확인하죠.,145,145,P2
75,p74,matched,적절,연인,일상 대화,3,"연인: 오늘은 그냥 누군가한테 말하고 싶었어.
나: 그래, 편하게 얘기해도 돼.
연인: 요즘 사소한 일에도 예민해져서 나도 좀 당황스러워",그 상황이면 누구라도 힘들었을 거야. 혼자 감당하지 말고 힘들면 나한테 말해.,146,146,P1
76,p75,matched,적절,친구,갈등 상황,4,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
친구: 이번 일은 솔직히 서운한 부분이 있어.
나: 내가 뭘 놓쳤는지 말해줘.
친구: 확정되지 않은 내용은 외부에 전달하지 말아주실 수 있을까?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 빠뜨리지 않도록 메모해둘게.,147,147,P2
77,p76,matched,적절,연인,질문·요청,1,연인: 오는 길에 약국에 들러서 소화제 하나만 사다 줄래?,"응, 오는 길에 들러서 사갈게. 오늘 일정 안에서 처리해둘게.",149,149,P2
78,p77,matched,적절,연인,질문·요청,1,연인: 토요일과 일요일 중 어느 날이 더 편해?,나는 일요일이 더 편해. 현재 기준에서는 더 정할 건 없어.,156,156,P5
79,p78,matched,적절,직장 관계(상사·동료),업무 대화,3,"동료: 혼자 생각해봤지만 결정을 내리지 못했습니다.
나: 지금까지 시도해본 방법이 있나요?
동료: 보고서 수치가 다를 때 원인을 효율적으로 찾는 방법이 있을까요?","가장 먼저 원본 데이터의 기준일과 필터 조건부터 맞춘 뒤, 계산식과 수기 입력된 셀을 차례로 비교하는 게 빨라. 문제가 생긴 직전 변경 사항부터 역순으로 확인해봐.",157,157,P3
80,p79,matched,적절,선후배,업무 대화,2,"나: 현재 기준으로 결정된 내용이 있나요?
선배: 다음 회의에서는 역할 분담부터 다시 정리할 예정입니다","네, 전달해주신 내용대로 업무를 진행하겠습니다.",158,158,P5
81,p80,matched,적절,직장 관계(상사·동료),업무 대화,2,"나: 확인해드릴 내용이 있나요?
팀장: 오늘 안에 수정된 화면을 QA 환경에 올려주실 수 있나요?",알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 끝나면 바로 알려드릴게요.,161,161,P2
82,p81,matched,적절,선후배,고민·감정 상담,4,"나: 어떻게 처리해야 할지 고민 중이신가요?
선배: 비슷한 경험이 있으시면 조언을 듣고 싶습니다.
나: 어떤 점이 가장 고민되세요?
선배: 일이 한꺼번에 겹쳤을 때 우선순위를 어떻게 정해야 할까요?","복잡하게 보기보다 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 그다음 결과를 보고 다음 단계를 정하면 됩니다.",162,162,P3
